section,figure,source,metric,n,mean,std,ci95,params,subgroup,train_size,sharing_type,depth,L,p,circuit_family,source_family,epsilon,class
paper,fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.2261666666666666,0.0442475674158729,0.0387847028837114,204.0,none,240.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.0938888888888888,0.0181811868577261,0.0159365129323965,204.0,none,450.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.0369999999999999,0.0345888549808878,0.0303184681524498,,,3.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.0139999999999999,0.0378337004387476,0.03316270060039,,,6.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,-0.0143333333333333,0.0457590306812643,0.0401095588496197,,,9.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,-0.0273333333333333,0.0683089387350668,0.0598754247491313,,,12.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.0059999999999999,0.0351504702039042,0.0308107456002681,,,15.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.005,0.0559265391185417,0.0490217729404213,,,18.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.0049999999999999,0.0410453678534158,0.0359778512112352,,,24.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.0216666666666666,0.0434613493680176,0.0380955523796559,,,30.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,-0.0023333333333333,0.0254569353134967,0.022313987641039,,,45.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,-0.0113333333333333,0.0221233913413934,0.0193920075174169,,,60.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.011,0.0375203648406805,0.032888049839147,,,90.0,,,,,,,,
paper,fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.0003333333333332,0.055294665203797,0.0484679110340027,,,120.0,,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5506666666666666,0.0257012753682683,0.0225281611421004,60.0,C4,,random,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.689,0.0190977020141749,0.01673987388775,60.0,C4,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5700000000000001,0.0256309274987161,0.0224664985156912,78.0,D2_V4,,random,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6656666666666666,0.0078704793020783,0.0068987792801013,78.0,D2_V4,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5723333333333334,0.029192845394415,0.025588657209353,54.0,D4,,random,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6883333333333334,0.0410791918128874,0.0360074992189127,54.0,D4,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5953333333333333,0.0186488009742658,0.0163463947775105,126.0,Z2_reflection,,random,,,,,,,
