subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
C4,3,2,1,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5491218390646195,2.443851504070206,0.8166666666666667,0.49333333333333335,0.3233333333333333,60,4,symmetry,577.7957711670315,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5701269915892506,2.3140049578578448,0.7833333333333333,0.5866666666666667,0.19666666666666666,60,4,symmetry,568.5882400838891,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8108547771118855,2.201460216545374,0.7666666666666667,0.615,0.15166666666666673,60,4,symmetry,567.5071540840436,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.6124783260348674,2.1874793106740267,0.8333333333333334,0.5733333333333334,0.26,60,4,symmetry,567.3907781660091,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,90,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7377873871378036,2.0833063682348616,0.7888888888888889,0.6266666666666667,0.16222222222222216,60,4,symmetry,568.180935041979,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,90,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.570382531290331,2.3068956894462764,0.8444444444444444,0.57,0.2744444444444445,60,4,symmetry,566.3440049589844,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,90,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7665236953545862,2.289935854220938,0.7777777777777778,0.59,0.18777777777777782,60,4,symmetry,566.7912355419248,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,90,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8124948473115654,2.221847717726091,0.7666666666666667,0.5833333333333334,0.18333333333333335,60,4,symmetry,690.1720697090495,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,90,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8066280193445121,2.175827456139144,0.7,0.5783333333333334,0.12166666666666659,60,4,symmetry,774.3039098329609,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7891089640954534,1.991688030338152,0.7666666666666667,0.69,0.07666666666666677,60,4,symmetry,770.1021229999606,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7126550359360027,2.1802346478543266,0.725,0.5866666666666667,0.1383333333333333,60,4,symmetry,760.9004172079731,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.741701664512441,2.120905775671836,0.8083333333333333,0.6783333333333333,0.13,60,4,symmetry,718.7556921250653,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7969544227654624,2.1483858456383733,0.7583333333333333,0.6083333333333333,0.15000000000000002,60,4,symmetry,548.8618511670502,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8944352004552283,2.2044466577526456,0.6833333333333333,0.585,0.09833333333333338,60,4,symmetry,548.3145885830745,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,0,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.10219722250140136,3.3370119052895455,1.0,0.2816666666666667,0.7183333333333333,54,8,symmetry,543.0666797910817,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.02900996845192923,3.3790120788243363,1.0,0.37166666666666665,0.6283333333333334,54,8,symmetry,542.8349823750323,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,2,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.15244423485106576,2.5740754766864007,1.0,0.45166666666666666,0.5483333333333333,54,8,symmetry,547.4944489588961,True,True,0,disjoint,0.0,0.0,0,none,()
