subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
D2_V4,3,2,2,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.1435619317057575,2.271020269626806,0.6355555555555555,0.5733333333333334,0.06222222222222218,78,4,random,1225.6727742919466,True,False,96,independent_fallback,0.0,0.0,0,none,()
D2_V4,3,2,3,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.1382539079022522,2.2096931661415513,0.6422222222222222,0.6016666666666667,0.04055555555555557,78,4,random,546.3016297080321,True,False,103,independent_fallback,0.0,0.0,0,none,()
D2_V4,3,2,4,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.161323626139783,2.30864509911571,0.6177777777777778,0.5366666666666666,0.08111111111111113,78,4,random,846.8238199159969,True,False,91,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.891160020204361,1.9375290430588095,0.7533333333333333,0.7233333333333334,0.029999999999999916,54,8,symmetry,1025.517843208043,True,False,97,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0006226209682874,2.009821955219577,0.7022222222222222,0.7033333333333334,-0.0011111111111111738,54,8,symmetry,1093.3008976669516,True,False,92,independent_fallback,0.0,0.0,0,none,()
D4,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0099442685408926,2.016693070000612,0.6977777777777778,0.655,0.0427777777777778,54,8,symmetry,924.7138509169454,True,False,96,independent_fallback,0.0,0.0,0,none,()
D4,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.943998712056897,1.9815636989466823,0.6622222222222223,0.635,0.02722222222222226,54,8,symmetry,795.761644708924,True,False,103,independent_fallback,0.0,0.0,0,none,()
D4,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9131541097714553,1.9806935736326234,0.7422222222222222,0.725,0.01722222222222225,54,8,symmetry,845.7227231250145,True,False,91,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.239427650229074,2.320803777906984,0.58,0.5583333333333333,0.021666666666666612,54,8,random,829.6310315839946,True,False,97,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.255817384613469,2.3047830849034314,0.5577777777777778,0.5683333333333334,-0.01055555555555554,54,8,random,888.7904801670229,True,False,92,independent_fallback,0.0,0.0,0,none,()
D4,3,2,2,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.2711968038740102,2.3317255014404896,0.6044444444444445,0.545,0.05944444444444441,54,8,random,808.6065541660646,True,False,96,independent_fallback,0.0,0.0,0,none,()
D4,3,2,3,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.145490805770502,2.1606365573345725,0.62,0.6216666666666667,-0.0016666666666667052,54,8,random,701.8648849170422,True,False,103,independent_fallback,0.0,0.0,0,none,()
D4,3,2,4,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.1890894527960714,2.293339131308767,0.6155555555555555,0.5683333333333334,0.047222222222222165,54,8,random,582.835469749989,True,False,91,independent_fallback,0.0,0.0,0,none,()
