figure,source,metric,n,mean,std,ci95,params,subgroup,train_size,sharing_type,depth,L,p,circuit_family,source_family
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.689,0.019097702014174912,0.016739873887750077,60.0,C4,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5700000000000001,0.025630927498716188,0.022466498515691224,78.0,D2_V4,,random,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6656666666666666,0.007870479302078391,0.006898779280101337,78.0,D2_V4,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5723333333333334,0.029192845394415082,0.025588657209353088,54.0,D4,,random,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6883333333333334,0.041079191812887446,0.03600749921891271,54.0,D4,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5953333333333333,0.01864880097426585,0.016346394777510504,126.0,Z2_reflection,,random,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6776666666666666,0.03909745658110144,0.03427043169977421,126.0,Z2_reflection,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5906666666666667,0.020364729858807853,0.017850472760623924,108.0,Z2_rot180,,random,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6773333333333333,0.018804550276757776,0.016482915060416,108.0,Z2_rot180,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6136666666666667,0.03300673331980075,0.02893167737196646,204.0,none,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.04755555555555548,0.01664628383249841,0.014591111111111086,60.0,C4,,random,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0078888888888889,0.026998513905147015,0.023665240854285754,60.0,C4,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.05977777777777773,0.01658591548852799,0.014538195924554763,78.0,D2_V4,,random,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.03833333333333328,0.0144177103026233,0.012637680284093386,78.0,D2_V4,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.02322222222222218,0.030211190797165104,0.02648127631104147,54.0,D4,,random,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0232222222222222,0.016374287280691548,0.0143526956215527,54.0,D4,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.060666666666666605,0.021525179054617254,0.018867651328839698,126.0,Z2_reflection,,random,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.04411111111111106,0.013747053556361844,0.012049823727003285,126.0,Z2_reflection,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.06222222222222218,0.026588426889239663,0.023305783736136277,108.0,Z2_rot180,,random,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0355555555555555,0.012177950120434997,0.010674443923990605,108.0,Z2_rot180,,symmetry,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.09388888888888886,0.018181186857726128,0.015936512932396556,204.0,none,,symmetry,,,,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5388888888888889,0.023353166174426298,0.02642659528338078,10.0,C4,,,1.0,1.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5572222222222222,0.048199047170542124,0.05454235640284812,20.0,C4,,,2.0,2.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5905555555555555,0.06281218329568213,0.0710786766309344,30.0,C4,,,3.0,3.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.63,0.008819171036881984,0.009979831513459403,40.0,C4,,,4.0,2.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.65,0.015275252316519395,0.01728557523228862,60.0,C4,,,6.0,2.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6716666666666667,0.051071844820148635,0.05779323297565022,80.0,C4,,,8.0,4.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.7138888888888889,0.04001157240006847,0.045277356507924325,90.0,C4,,,9.0,3.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6916666666666668,0.028915585954829095,0.032721065816200844,120.0,C4,,,12.0,4.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5166666666666667,0.010408329997330632,0.01177813416651571,13.0,D2_V4,,,1.0,1.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.56,0.01691481927515368,0.019140919905135563,26.0,D2_V4,,,2.0,2.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5922222222222223,0.031505437508350796,0.03565175873971116,39.0,D2_V4,,,3.0,3.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6216666666666666,0.0057735026918962545,0.006533333333333338,52.0,D2_V4,,,4.0,4.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6483333333333333,0.01040832999733058,0.011778134166515639,78.0,D2_V4,,,6.0,2.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6427777777777778,0.04631814299354383,0.05241391295834474,104.0,D2_V4,,,8.0,4.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6222222222222222,0.03874178527024695,0.04384045710314097,117.0,D2_V4,,,9.0,3.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6783333333333333,0.0050000000000000044,0.005658032638058337,156.0,D2_V4,,,12.0,4.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.523888888888889,0.03583656316193372,0.04055288880121195,9.0,D4,,,1.0,1.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5655555555555556,0.029360467248275124,0.0332244963918767,18.0,D4,,,2.0,2.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5861111111111111,0.05543598243152314,0.0627317195840773,27.0,D4,,,3.0,3.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6233333333333334,0.030046260628866596,0.03400054465794686,36.0,D4,,,4.0,2.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.668888888888889,0.019883922409081465,0.0225007763926405,54.0,D4,,,6.0,3.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6583333333333333,0.07112196097783957,0.08048207529906548,72.0,D4,,,8.0,4.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.64,0.04484541349024575,0.05074736263900633,81.0,D4,,,9.0,3.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6905555555555556,0.04565368834233724,0.051662011737737455,108.0,D4,,,12.0,4.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5222222222222223,0.03203007845644348,0.03624544586122527,21.0,Z2_reflection,,,1.0,1.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5488888888888889,0.03505287012077188,0.0396660566401894,42.0,Z2_reflection,,,2.0,2.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5666666666666667,0.043588989435406775,0.04932558497710228,63.0,Z2_reflection,,,3.0,3.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6077777777777778,0.03355481971231442,0.037970853019287626,84.0,Z2_reflection,,,4.0,4.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.635,0.02204792759220496,0.02494957878364849,126.0,Z2_reflection,,,6.0,2.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6455555555555555,0.01931704294523745,0.02185929189098563,168.0,Z2_reflection,,,8.0,4.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6222222222222222,0.030245905752924882,0.03422646438353705,189.0,Z2_reflection,,,9.0,3.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.645,0.02516611478423587,0.028478139764465765,252.0,Z2_reflection,,,12.0,4.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5311111111111111,0.03728022015512805,0.04218654047834292,18.0,Z2_rot180,,,1.0,1.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5555555555555555,0.025945098730745773,0.029359643083241117,36.0,Z2_rot180,,,2.0,2.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.581111111111111,0.053989024947805955,0.061094333050326334,54.0,Z2_rot180,,,3.0,3.0,1.0,,
